bike_activity_ui,bike_activity_sample_uid,bike_activity_measurement,bike_activity_measurement_timestamp,bike_activity_measurement_lon,bike_activity_measurement_lat,bike_activity_measurement_speed,bike_activity_measurement_accelerometer_x,bike_activity_measurement_accelerometer_y,bike_activity_measurement_accelerometer_z,bike_activity_phone_position,bike_activity_bike_type,bike_activity_surface_type,bike_activity_smoothness_type
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,e8ccc7ef-e071-4e62-a07e-9c3291b3094c,1624826509212,-16.8280965,32.6449201,0.413866,0.11101556,0.14620829,-0.1980195,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,9d64ee67-d68f-438e-b801-54555b7afc01,1624826509246,-16.8280965,32.6449201,0.413866,0.12498179,0.121898174,-0.060915947,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,f5f5d77b-8da2-46d5-a011-0536a7a80e04,1624826509279,-16.8280965,32.6449201,0.413866,0.13548675,0.10523844,-0.052782536,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,9de91aa6-6b07-4e8e-b9c2-86c513467978,1624826509312,-16.8280965,32.6449201,0.413866,0.12262815,0.13690758,0.008565426,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,8404eca5-9d76-4d1f-89a4-70b0e381d40e,1624826509346,-16.8280965,32.6449201,0.413866,-0.014679521,0.030896187,-0.03740692,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,95718fcb-0554-4da3-944a-ad5784c27e55,1624826509379,-16.8280965,32.6449201,0.413866,0.062446445,0.083883286,-0.025741577,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,d14020bf-36ea-407d-b049-9bf9dddaf78c,1624826509413,-16.8280965,32.6449201,0.413866,-0.042734236,0.105323315,-0.065867424,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,bdcb34ca-53d4-4ef3-a72b-e0e0f8036f1d,1624826509446,-16.8280988,32.6449143,0.43394893,-0.037756696,0.10311842,0.04725027,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,7d8a2b1f-f938-471b-89dd-2f8c4263a097,1624826509479,-16.8280988,32.6449143,0.43394893,-0.061489537,0.029691696,-0.13415766,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,529c67a3-757b-49c6-8921-10860f6c563c,1624826509513,-16.8280988,32.6449143,0.43394893,-0.09274523,-0.10624647,-0.056870937,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,6eb7024b-b770-4f74-bdcd-16c6f370cb85,1624826509546,-16.8280988,32.6449143,0.43394893,-0.12746112,0.010546207,-0.33149052,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,107bb6ce-c28f-4d04-80d3-c7f12e3a7c80,1624826509579,-16.8280988,32.6449143,0.43394893,0.019717038,-0.015778542,-0.007888317,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,f7d73397-4e3b-467b-9843-a2a0aa6c967d,1624826509613,-16.8280988,32.6449143,0.43394893,-0.12662773,0.039583683,0.111082554,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,0515685e-9923-4052-8649-56964feae985,1624826509646,-16.8281097,32.6449,0.47732052,0.023327902,-0.011378765,0.046965122,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,8300bf7e-52bd-41a7-b8af-622e0393ee21,1624826509684,-16.8281097,32.6449,0.47732052,0.011221647,0.036145687,0.020513058,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,ca4cbcbb-60fb-4a66-a698-076a17caf002,1624826509713,-16.8281097,32.6449,0.47732052,-0.036891952,0.06442356,-0.0053453445,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,8614eab8-4d67-46d1-ba2b-aee2c2f5f327,1624826509746,-16.8281097,32.6449,0.47732052,-0.009475112,0.13347816,0.14695692,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,53f0d692-7225-41a4-96d0-551a90b7fe10,1624826509780,-16.8281097,32.6449,0.47732052,0.014828414,0.06200552,-0.025887966,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,63abe7e0-858e-4ed8-b03f-5cc864dce5d7,1624826509813,-16.8281097,32.6449,0.47732052,0.009086341,0.05389309,0.27684498,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,06f6e45c-a2ee-4078-86ef-4a5ab0144b80,1624826509846,-16.8281097,32.6449,0.47732052,0.0300709,-0.07041597,0.2950287,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,017716f8-d6a5-4bee-8a9e-ed5f797b0795,1624826509880,-16.8281097,32.6449,0.47732052,-0.007942945,0.0005297661,-0.042491436,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,a0aa9ef2-72a2-4a89-a324-1ee0ab6aa079,1624826509914,-16.8281097,32.6449,0.47732052,-0.12358965,0.24111795,-0.37824392,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,208eada7-548a-4c0d-ba2e-31c7aa1c8273,1624826509947,-16.8281097,32.6449,0.47732052,0.03145477,0.21958494,-0.36847878,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,24e73c9e-fa42-46b0-bb64-2e68adb192e7,1624826509981,-16.8281097,32.6449,0.47732052,0.022280604,0.09182024,-0.15782976,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,95a72719-c6d6-46c4-ae54-9e731a9b40d7,1624826510014,-16.8281097,32.6449,0.47732052,0.061003566,-0.10393381,-0.10775328,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,493b98be-0341-47ee-a9a3-f32c4652be89,1624826510047,-16.8281097,32.6449,0.47732052,0.06846875,-0.033222675,-0.27262306,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,721a44f3-0adb-4f6e-8243-76d007ef1c77,1624826510081,-16.8281097,32.6449,0.47732052,0.13344854,0.047272205,-0.007086754,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,53798bd4-b9fe-4528-8e7f-c13660aa8d85,1624826510114,-16.8281097,32.6449,0.47732052,0.14450204,0.053147793,-0.13625002,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,ebbb80c8-a392-40a8-a86a-ffc138a7e02a,1624826510147,-16.8281097,32.6449,0.47732052,0.059637308,0.12172365,-0.118555546,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,716a5a8b-b5d3-44aa-93b9-0b28b6f16449,1624826510181,-16.8281097,32.6449,0.47732052,0.08666557,0.18447495,0.03191805,other,other,mixed,mixed
8a7fb2ff-c32c-43c0-ba1e-e1a25546cb5a,6ae262b6-6fde-45c1-b7ec-2570438ce0e7,0bac5a9d-8dc0-4f02-9cc8-4684e618c7f8,1624826510214,-16.8281097,32.6449,0.47732052,0.06585181,0.08224106,-0.0045876503,other,other,mixed,mixed
